submission_id,question,startDate,mentioned_file,DP,question_file,unmentioned_element,experiment_id,picture2,det_competitor,competitor,target_position,time_spent,option4,det_target,option2,option3,option1,condition,item_id,endTime,item_type,complete_answer,target,age,response,comments,picture1,education,QUD,answer_file,expected_response,languages,prolific_id,item_name,unmentioned_file,gender,picture3,trial_number,startTime,chunked_answer,picture4,timeSpent,mentioned_element,reaction_times,pictureChoices,trial_name,incomplete_answer,list
400,Kann man hiermit im Schnee spielen?,Thu Nov 14 2019 18:44:06 GMT+0100 (Mitteleuropäische Normalzeit),NA,NA,q_f_snowboard.wav,NA,9,images/christmaslights.jpg,NA,NA,NA,32706,snowboard,NA,christmaslights,acousticguitar02,spinningtoy,filler,252,1573754476784,filler,"Ja, das ist ein Snowboard.",NA,59,snowboard,Danke für die Umfrage. Es hat wirklich Spaß gemacht.,images/spinningtoy.jpg,Hochschulabschluss,,f_snowboard.wav,snowboard,deutsch,5be6b18edcdffd00012742ec,snowboard,NA,weiblich,images/acousticguitar02.jpg,1,1573753446422,"Ja, | das ist | ein Snowboard.",images/snowboard.jpg,17.1727,NA,11958|7819,snowboard|snowboard|snowboard,poor_folks_visual_world_training,"Ja, das ist ein ...",9
400,Magst du auch das große Rad?,Thu Nov 14 2019 18:44:06 GMT+0100 (Mitteleuropäische Normalzeit),NA,NA,q_f_wagenrad.wav,NA,9,images/menwashroomsign.jpg,NA,NA,NA,27128,wagonwheel,NA,menwashroomsign,aloe01,kidpicnictable,filler,232,1573754476784,filler,"Ja, das ist ein großes Wagenrad. ",NA,59,wagonwheel,Danke für die Umfrage. Es hat wirklich Spaß gemacht.,images/kidpicnictable.jpg,Hochschulabschluss,,f_wagenrad.wav,wagonwheel,deutsch,5be6b18edcdffd00012742ec,wagon-wheel,NA,weiblich,images/aloe01.jpg,2,1573753446422,"Ja, | das ist | ein großes Wagenrad. ",images/wagonwheel.jpg,17.1727,NA,7546|5472,wagonwheel|wagonwheel|wagonwheel,poor_folks_visual_world_training,"Ja, das ist ein großes ...",6
400,Ist das eine Türglocke?,Thu Nov 14 2019 18:44:06 GMT+0100 (Mitteleuropäische Normalzeit),NA,NA,q_f_klingel.wav,NA,9,images/cakeplatter.jpg,NA,NA,NA,24810,powerline,NA,cakeplatter,callbell,skippingrope,filler,245,1573754476784,filler,"Nein, das ist eine Klingel.",NA,59,callbell,Danke für die Umfrage. Es hat wirklich Spaß gemacht.,images/skippingrope.jpg,Hochschulabschluss,,f_klingel.wav,callbell,deutsch,5be6b18edcdffd00012742ec,call-bell,NA,weiblich,images/callbell.jpg,1,1573753446422,"Nein, | das ist | eine Klingel.",images/powerline.jpg,17.1727,NA,6779|7061,callbell|callbell|callbell,poor_folks_visual_world,"Nein, das ist eine ...",8
400,Ist das ein Bild von einer Flöte?,Thu Nov 14 2019 18:44:06 GMT+0100 (Mitteleuropäische Normalzeit),recorder04.jpg,actually,q_r_floete.wav,clarinet,9,images/bench01.jpg,die,Klarinette,1,27173,Klarinette,die,bench01,Flöte,flag,reliable,153,1573754476784,critical,Das ist eigentlich ein Bild von einer Klarinette.,Flöte,59,Klarinette,Danke für die Umfrage. Es hat wirklich Spaß gemacht.,images/flag.jpg,Hochschulabschluss,,r_e_klarinette.wav,Klarinette,deutsch,5be6b18edcdffd00012742ec,recorder-clarinet,clarinet.jpg,weiblich,images/recorder04.jpg,2,1573753446422,Das ist | eigentlich ein Bild von | einer Klarinette.,images/clarinet.jpg,17.1727,recorder,5755|6909,Flöte|Flöte|Klarinette,poor_folks_visual_world,Das ist eigentlich ein Bild von einer ...,6
400,Was ist das mit dem Schabel für ein Tier?,Thu Nov 14 2019 18:44:06 GMT+0100 (Mitteleuropäische Normalzeit),NA,NA,q_f_schnabeltier.wav,NA,9,images/platypus.jpg,NA,NA,NA,23815,crocodile,NA,platypus,greathornowl,cougar,filler,205,1573754476784,filler,Das ist ein Schnabeltier.,NA,59,platypus,Danke für die Umfrage. Es hat wirklich Spaß gemacht.,images/cougar.jpg,Hochschulabschluss,,f_schnabeltier.wav,platypus,deutsch,5be6b18edcdffd00012742ec,platypus,NA,weiblich,images/greathornowl.jpg,3,1573753446422,Das ist | ein Schnabeltier.,images/crocodile.jpg,17.1727,NA,6465,platypus|platypus,poor_folks_visual_world,Das ist ein ...,1
400,Findest du das Tier mit der dicken Nase auch lustig?,Thu Nov 14 2019 18:44:06 GMT+0100 (Mitteleuropäische Normalzeit),NA,NA,q_f_affe.wav,NA,9,images/giraffe.jpg,NA,NA,NA,25870,saintbernard,NA,giraffe,monarchbutterfly,proboscismonkey,filler,210,1573754476784,filler,"Ja, das ist ein lustiger Affee.",NA,59,proboscismonkey,Danke für die Umfrage. Es hat wirklich Spaß gemacht.,images/proboscismonkey.jpg,Hochschulabschluss,,f_affe.wav,proboscismonkey,deutsch,5be6b18edcdffd00012742ec,proboscis-monkey,NA,weiblich,images/monarchbutterfly.jpg,4,1573753446422,"Ja, | das ist | ein lustiger Affee.",images/saintbernard.jpg,17.1727,NA,7248|6559,proboscismonkey|proboscismonkey|proboscismonkey,poor_folks_visual_world,"Ja, das ist ein lustiger ...",2
400,Ist das ein Bild von einer Sonnenbrille?,Thu Nov 14 2019 18:44:06 GMT+0100 (Mitteleuropäische Normalzeit),sunglasses04.jpg,indeed,q_u_sonnenbrille.wav,swim-goggles,9,images/sunglasses04.jpg,die,Schwimmbrille,4,29156,mug01,die,Sonnenbrille,Schwimmbrille,violin,unreliable,188,1573754476784,critical,Das ist tatsächlich ein Bild von einer Schwimmbrille.,Sonnenbrille,59,Schwimmbrille,Danke für die Umfrage. Es hat wirklich Spaß gemacht.,images/violin.jpg,Hochschulabschluss,,u_t_schwimmbrille.wav,Schwimmbrille,deutsch,5be6b18edcdffd00012742ec,sunglasses-swim-goggles,swimgoggles.jpg,weiblich,images/swimgoggles.jpg,5,1573753446422,Das ist | tatsächlich ein Bild von | einer Schwimmbrille.,images/mug01.jpg,17.1727,sunglasses,13617|5636,Schwimmbrille|Sonnenbrille|Schwimmbrille,poor_folks_visual_world,Das ist tatsächlich ein Bild von einer ...,9
400,Wie heißt das große gelbe Ding?,Thu Nov 14 2019 18:44:06 GMT+0100 (Mitteleuropäische Normalzeit),NA,NA,q_f_bulldozer.wav,NA,9,images/bust.jpg,NA,NA,NA,13821,bulldozer,NA,bust,handbrush02,fireplace,filler,256,1573754476784,filler,Das ist ein Bulldozer.,NA,59,bulldozer,Danke für die Umfrage. Es hat wirklich Spaß gemacht.,images/fireplace.jpg,Hochschulabschluss,,f_bulldozer.wav,bulldozer,deutsch,5be6b18edcdffd00012742ec,bulldozer,NA,weiblich,images/handbrush02.jpg,6,1573753446422,Das ist | ein Bulldozer.,images/bulldozer.jpg,17.1727,NA,5823,bulldozer|bulldozer,poor_folks_visual_world,Das ist ein ...,10
400,Ist das ein Bild von einem Klo?,Thu Nov 14 2019 18:44:06 GMT+0100 (Mitteleuropäische Normalzeit),toilet.jpg,actually,q_r_klo.wav,sink,9,images/sink.jpg,das,Waschbecken,3,36685,gardenutilityvehicle,das,Waschbecken,pouch01b,Klo,reliable,143,1573754476784,critical,Das ist eigentlich ein Bild von einem Waschbecken.,Klo,59,Waschbecken,Danke für die Umfrage. Es hat wirklich Spaß gemacht.,images/toilet.jpg,Hochschulabschluss,,r_e_waschbecken.wav,Waschbecken,deutsch,5be6b18edcdffd00012742ec,toilet-sink,sink.jpg,weiblich,images/pouch01b.jpg,7,1573753446422,Das ist | eigentlich ein Bild von | einem Waschbecken.,images/gardenutilityvehicle.jpg,17.1727,toilet,13989|4949,Klo|Klo|Waschbecken,poor_folks_visual_world,Das ist eigentlich ein Bild von einem ...,5
400,Ist das eine Blume?,Thu Nov 14 2019 18:44:06 GMT+0100 (Mitteleuropäische Normalzeit),NA,NA,q_f_artischoke.wav,NA,9,images/waterfountain02.jpg,NA,NA,NA,27827,atm,NA,waterfountain02,pumpkin,artichoke01b,filler,238,1573754476784,filler,"Nein, das ist eine Artischocke, man kann sie kochen.",NA,59,artichoke01b,Danke für die Umfrage. Es hat wirklich Spaß gemacht.,images/artichoke01b.jpg,Hochschulabschluss,,f_artischoke.wav,artichoke01b,deutsch,5be6b18edcdffd00012742ec,artichoke,NA,weiblich,images/pumpkin.jpg,8,1573753446422,"Nein, | das ist | eine Artischocke, | man kann sie kochen.",images/atm.jpg,17.1727,NA,7398|5889|6089,artichoke01b|artichoke01b|artichoke01b|artichoke01b,poor_folks_visual_world,"Nein, das ist eine ..., man kann sie kochen.",7
